csvData,Tipo,Horario,Premio_1,Centena_1,Grupo_1,Bicho_1,Premio_2,Centena_2,Grupo_2,Bicho_2,Premio_3,Centena_3,Grupo_3,Bicho_3,Premio_4,Centena_4,Grupo_4,Bicho_4,Premio_5,Centena_5,Grupo_5,Bicho_5
2024-01-23,PTV,16:30,1360,360,15,Jacaré,4201,201,01,Avestruz,6737,737,10,Coelho,0784,784,21,Touro,5943,943,11,Cavalo
2024-01-23,PTN,,1018,018,05,Cachorro,9465,465,17,Macaco,8229,229,08,Camelo,4856,856,14,Gato,5102,102,01,Avestruz
2024-01-23,COR,21:30,4830,830,08,Camelo,1452,452,13,Galo,7510,510,03,Burro,0243,243,11,Cavalo,6802,802,01,Avestruz
2024-01-24,PPT,09:30,3421,421,06,Cabra,2030,030,08,Camelo,3378,378,20,Peru,5632,632,08,Camelo,3103,103,01,Avestruz
2024-01-24,PTM,11:30,3194,194,24,Veado,6708,708,02,Águia,6540,540,10,Coelho,2442,442,11,Cavalo,9998,998,25,Vaca
2024-01-24,PT,14:30,6146,146,12,Elefante,2333,333,09,Cobra,4020,020,05,Cachorro,8550,550,13,Galo,1794,794,24,Veado
2024-01-24,PTV,16:30,3259,259,15,Jacaré,6898,898,25,Vaca,0530,530,08,Camelo,7187,187,22,Tigre,5316,316,04,Borboleta
2024-01-24,FED,,7637,637,10,Coelho,2964,964,16,Leão,6159,159,15,Jacaré,2826,826,07,Carneiro,4544,544,11,Cavalo
2024-01-24,COR,21:30,7898,898,25,Vaca,3823,823,06,Cabra,3191,191,23,Urso,1513,513,04,Borboleta,5955,955,14,Gato
2024-01-25,PPT,09:30,3751,751,13,Galo,1426,426,07,Carneiro,9834,834,09,Cobra,3687,687,22,Tigre,7530,530,08,Camelo
2024-01-25,PTM,11:30,3332,332,08,Camelo,6446,446,12,Elefante,0729,729,08,Camelo,7927,927,07,Carneiro,3475,475,19,Pavão
2024-01-25,PT,14:30,7917,917,05,Cachorro,9340,340,10,Coelho,1008,008,02,Águia,3689,689,23,Urso,3908,908,02,Águia
